sepal_length	sepal_width	petal_length	petal_width	sample_id	species	species_name	event_timestamp
5.1	3.5	1.4	0.2	0	0	setosa	2025-05-22 11:01:51.666091
4.9	3.0	1.4	0.2	1	0	setosa	2025-05-22 12:01:51.666091
4.7	3.2	1.3	0.2	2	0	setosa	2025-05-22 13:01:51.666091
4.6	3.1	1.5	0.2	3	0	setosa	2025-05-22 14:01:51.666091
5.0	3.6	1.4	0.2	4	0	setosa	2025-05-22 15:01:51.666091
5.4	3.9	1.7	0.4	5	0	setosa	2025-05-22 16:01:51.666091
4.6	3.4	1.4	0.3	6	0	setosa	2025-05-22 17:01:51.666091
5.0	3.4	1.5	0.2	7	0	setosa	2025-05-22 18:01:51.666091
4.4	2.9	1.4	0.2	8	0	setosa	2025-05-22 19:01:51.666091
4.9	3.1	1.5	0.1	9	0	setosa	2025-05-22 20:01:51.666091
5.4	3.7	1.5	0.2	10	0	setosa	2025-05-22 21:01:51.666091
4.8	3.4	1.6	0.2	11	0	setosa	2025-05-22 22:01:51.666091
4.8	3.0	1.4	0.1	12	0	setosa	2025-05-22 23:01:51.666091
4.3	3.0	1.1	0.1	13	0	setosa	2025-05-23 00:01:51.666091
5.8	4.0	1.2	0.2	14	0	setosa	2025-05-23 01:01:51.666091
5.7	4.4	1.5	0.4	15	0	setosa	2025-05-23 02:01:51.666091
5.4	3.9	1.3	0.4	16	0	setosa	2025-05-23 03:01:51.666091
5.1	3.5	1.4	0.3	17	0	setosa	2025-05-23 04:01:51.666091
5.7	3.8	1.7	0.3	18	0	setosa	2025-05-23 05:01:51.666091
5.1	3.8	1.5	0.3	19	0	setosa	2025-05-23 06:01:51.666091
5.4	3.4	1.7	0.2	20	0	setosa	2025-05-23 07:01:51.666091
5.1	3.7	1.5	0.4	21	0	setosa	2025-05-23 08:01:51.666091
4.6	3.6	1.0	0.2	22	0	setosa	2025-05-23 09:01:51.666091
5.1	3.3	1.7	0.5	23	0	setosa	2025-05-23 10:01:51.666091
4.8	3.4	1.9	0.2	24	0	setosa	2025-05-23 11:01:51.666091
5.0	3.0	1.6	0.2	25	0	setosa	2025-05-23 12:01:51.666091
5.0	3.4	1.6	0.4	26	0	setosa	2025-05-23 13:01:51.666091
5.2	3.5	1.5	0.2	27	0	setosa	2025-05-23 14:01:51.666091
5.2	3.4	1.4	0.2	28	0	setosa	2025-05-23 15:01:51.666091
4.7	3.2	1.6	0.2	29	0	setosa	2025-05-23 16:01:51.666091
4.8	3.1	1.6	0.2	30	0	setosa	2025-05-23 17:01:51.666091
5.4	3.4	1.5	0.4	31	0	setosa	2025-05-23 18:01:51.666091
5.2	4.1	1.5	0.1	32	0	setosa	2025-05-23 19:01:51.666091
5.5	4.2	1.4	0.2	33	0	setosa	2025-05-23 20:01:51.666091
4.9	3.1	1.5	0.2	34	0	setosa	2025-05-23 21:01:51.666091
5.0	3.2	1.2	0.2	35	0	setosa	2025-05-23 22:01:51.666091
5.5	3.5	1.3	0.2	36	0	setosa	2025-05-23 23:01:51.666091
4.9	3.6	1.4	0.1	37	0	setosa	2025-05-24 00:01:51.666091
4.4	3.0	1.3	0.2	38	0	setosa	2025-05-24 01:01:51.666091
5.1	3.4	1.5	0.2	39	0	setosa	2025-05-24 02:01:51.666091
5.0	3.5	1.3	0.3	40	0	setosa	2025-05-24 03:01:51.666091
4.5	2.3	1.3	0.3	41	0	setosa	2025-05-24 04:01:51.666091
4.4	3.2	1.3	0.2	42	0	setosa	2025-05-24 05:01:51.666091
5.0	3.5	1.6	0.6	43	0	setosa	2025-05-24 06:01:51.666091
5.1	3.8	1.9	0.4	44	0	setosa	2025-05-24 07:01:51.666091
4.8	3.0	1.4	0.3	45	0	setosa	2025-05-24 08:01:51.666091
5.1	3.8	1.6	0.2	46	0	setosa	2025-05-24 09:01:51.666091
4.6	3.2	1.4	0.2	47	0	setosa	2025-05-24 10:01:51.666091
5.3	3.7	1.5	0.2	48	0	setosa	2025-05-24 11:01:51.666091
5.0	3.3	1.4	0.2	49	0	setosa	2025-05-24 12:01:51.666091
7.0	3.2	4.7	1.4	50	1	versicolor	2025-05-24 13:01:51.666091
6.4	3.2	4.5	1.5	51	1	versicolor	2025-05-24 14:01:51.666091
6.9	3.1	4.9	1.5	52	1	versicolor	2025-05-24 15:01:51.666091
5.5	2.3	4.0	1.3	53	1	versicolor	2025-05-24 16:01:51.666091
6.5	2.8	4.6	1.5	54	1	versicolor	2025-05-24 17:01:51.666091
5.7	2.8	4.5	1.3	55	1	versicolor	2025-05-24 18:01:51.666091
6.3	3.3	4.7	1.6	56	1	versicolor	2025-05-24 19:01:51.666091
4.9	2.4	3.3	1.0	57	1	versicolor	2025-05-24 20:01:51.666091
6.6	2.9	4.6	1.3	58	1	versicolor	2025-05-24 21:01:51.666091
5.2	2.7	3.9	1.4	59	1	versicolor	2025-05-24 22:01:51.666091
5.0	2.0	3.5	1.0	60	1	versicolor	2025-05-24 23:01:51.666091
5.9	3.0	4.2	1.5	61	1	versicolor	2025-05-25 00:01:51.666091
6.0	2.2	4.0	1.0	62	1	versicolor	2025-05-25 01:01:51.666091
6.1	2.9	4.7	1.4	63	1	versicolor	2025-05-25 02:01:51.666091
5.6	2.9	3.6	1.3	64	1	versicolor	2025-05-25 03:01:51.666091
6.7	3.1	4.4	1.4	65	1	versicolor	2025-05-25 04:01:51.666091
5.6	3.0	4.5	1.5	66	1	versicolor	2025-05-25 05:01:51.666091
5.8	2.7	4.1	1.0	67	1	versicolor	2025-05-25 06:01:51.666091
6.2	2.2	4.5	1.5	68	1	versicolor	2025-05-25 07:01:51.666091
5.6	2.5	3.9	1.1	69	1	versicolor	2025-05-25 08:01:51.666091
5.9	3.2	4.8	1.8	70	1	versicolor	2025-05-25 09:01:51.666091
6.1	2.8	4.0	1.3	71	1	versicolor	2025-05-25 10:01:51.666091
6.3	2.5	4.9	1.5	72	1	versicolor	2025-05-25 11:01:51.666091
6.1	2.8	4.7	1.2	73	1	versicolor	2025-05-25 12:01:51.666091
6.4	2.9	4.3	1.3	74	1	versicolor	2025-05-25 13:01:51.666091
6.6	3.0	4.4	1.4	75	1	versicolor	2025-05-25 14:01:51.666091
6.8	2.8	4.8	1.4	76	1	versicolor	2025-05-25 15:01:51.666091
6.7	3.0	5.0	1.7	77	1	versicolor	2025-05-25 16:01:51.666091
6.0	2.9	4.5	1.5	78	1	versicolor	2025-05-25 17:01:51.666091
5.7	2.6	3.5	1.0	79	1	versicolor	2025-05-25 18:01:51.666091
5.5	2.4	3.8	1.1	80	1	versicolor	2025-05-25 19:01:51.666091
5.5	2.4	3.7	1.0	81	1	versicolor	2025-05-25 20:01:51.666091
5.8	2.7	3.9	1.2	82	1	versicolor	2025-05-25 21:01:51.666091
6.0	2.7	5.1	1.6	83	1	versicolor	2025-05-25 22:01:51.666091
5.4	3.0	4.5	1.5	84	1	versicolor	2025-05-25 23:01:51.666091
6.0	3.4	4.5	1.6	85	1	versicolor	2025-05-26 00:01:51.666091
6.7	3.1	4.7	1.5	86	1	versicolor	2025-05-26 01:01:51.666091
6.3	2.3	4.4	1.3	87	1	versicolor	2025-05-26 02:01:51.666091
5.6	3.0	4.1	1.3	88	1	versicolor	2025-05-26 03:01:51.666091
5.5	2.5	4.0	1.3	89	1	versicolor	2025-05-26 04:01:51.666091
5.5	2.6	4.4	1.2	90	1	versicolor	2025-05-26 05:01:51.666091
6.1	3.0	4.6	1.4	91	1	versicolor	2025-05-26 06:01:51.666091
5.8	2.6	4.0	1.2	92	1	versicolor	2025-05-26 07:01:51.666091
5.0	2.3	3.3	1.0	93	1	versicolor	2025-05-26 08:01:51.666091
5.6	2.7	4.2	1.3	94	1	versicolor	2025-05-26 09:01:51.666091
5.7	3.0	4.2	1.2	95	1	versicolor	2025-05-26 10:01:51.666091
5.7	2.9	4.2	1.3	96	1	versicolor	2025-05-26 11:01:51.666091
6.2	2.9	4.3	1.3	97	1	versicolor	2025-05-26 12:01:51.666091
5.1	2.5	3.0	1.1	98	1	versicolor	2025-05-26 13:01:51.666091
5.7	2.8	4.1	1.3	99	1	versicolor	2025-05-26 14:01:51.666091
6.3	3.3	6.0	2.5	100	2	virginica	2025-05-26 15:01:51.666091
5.8	2.7	5.1	1.9	101	2	virginica	2025-05-26 16:01:51.666091
7.1	3.0	5.9	2.1	102	2	virginica	2025-05-26 17:01:51.666091
6.3	2.9	5.6	1.8	103	2	virginica	2025-05-26 18:01:51.666091
6.5	3.0	5.8	2.2	104	2	virginica	2025-05-26 19:01:51.666091
7.6	3.0	6.6	2.1	105	2	virginica	2025-05-26 20:01:51.666091
4.9	2.5	4.5	1.7	106	2	virginica	2025-05-26 21:01:51.666091
7.3	2.9	6.3	1.8	107	2	virginica	2025-05-26 22:01:51.666091
6.7	2.5	5.8	1.8	108	2	virginica	2025-05-26 23:01:51.666091
7.2	3.6	6.1	2.5	109	2	virginica	2025-05-27 00:01:51.666091
6.5	3.2	5.1	2.0	110	2	virginica	2025-05-27 01:01:51.666091
6.4	2.7	5.3	1.9	111	2	virginica	2025-05-27 02:01:51.666091
6.8	3.0	5.5	2.1	112	2	virginica	2025-05-27 03:01:51.666091
5.7	2.5	5.0	2.0	113	2	virginica	2025-05-27 04:01:51.666091
5.8	2.8	5.1	2.4	114	2	virginica	2025-05-27 05:01:51.666091
6.4	3.2	5.3	2.3	115	2	virginica	2025-05-27 06:01:51.666091
6.5	3.0	5.5	1.8	116	2	virginica	2025-05-27 07:01:51.666091
7.7	3.8	6.7	2.2	117	2	virginica	2025-05-27 08:01:51.666091
7.7	2.6	6.9	2.3	118	2	virginica	2025-05-27 09:01:51.666091
6.0	2.2	5.0	1.5	119	2	virginica	2025-05-27 10:01:51.666091
6.9	3.2	5.7	2.3	120	2	virginica	2025-05-27 11:01:51.666091
5.6	2.8	4.9	2.0	121	2	virginica	2025-05-27 12:01:51.666091
7.7	2.8	6.7	2.0	122	2	virginica	2025-05-27 13:01:51.666091
6.3	2.7	4.9	1.8	123	2	virginica	2025-05-27 14:01:51.666091
6.7	3.3	5.7	2.1	124	2	virginica	2025-05-27 15:01:51.666091
7.2	3.2	6.0	1.8	125	2	virginica	2025-05-27 16:01:51.666091
6.2	2.8	4.8	1.8	126	2	virginica	2025-05-27 17:01:51.666091
6.1	3.0	4.9	1.8	127	2	virginica	2025-05-27 18:01:51.666091
6.4	2.8	5.6	2.1	128	2	virginica	2025-05-27 19:01:51.666091
7.2	3.0	5.8	1.6	129	2	virginica	2025-05-27 20:01:51.666091
7.4	2.8	6.1	1.9	130	2	virginica	2025-05-27 21:01:51.666091
7.9	3.8	6.4	2.0	131	2	virginica	2025-05-27 22:01:51.666091
6.4	2.8	5.6	2.2	132	2	virginica	2025-05-27 23:01:51.666091
6.3	2.8	5.1	1.5	133	2	virginica	2025-05-28 00:01:51.666091
6.1	2.6	5.6	1.4	134	2	virginica	2025-05-28 01:01:51.666091
7.7	3.0	6.1	2.3	135	2	virginica	2025-05-28 02:01:51.666091
6.3	3.4	5.6	2.4	136	2	virginica	2025-05-28 03:01:51.666091
6.4	3.1	5.5	1.8	137	2	virginica	2025-05-28 04:01:51.666091
6.0	3.0	4.8	1.8	138	2	virginica	2025-05-28 05:01:51.666091
6.9	3.1	5.4	2.1	139	2	virginica	2025-05-28 06:01:51.666091
6.7	3.1	5.6	2.4	140	2	virginica	2025-05-28 07:01:51.666091
6.9	3.1	5.1	2.3	141	2	virginica	2025-05-28 08:01:51.666091
5.8	2.7	5.1	1.9	142	2	virginica	2025-05-28 09:01:51.666091
6.8	3.2	5.9	2.3	143	2	virginica	2025-05-28 10:01:51.666091
6.7	3.3	5.7	2.5	144	2	virginica	2025-05-28 11:01:51.666091
6.7	3.0	5.2	2.3	145	2	virginica	2025-05-28 12:01:51.666091
6.3	2.5	5.0	1.9	146	2	virginica	2025-05-28 13:01:51.666091
6.5	3.0	5.2	2.0	147	2	virginica	2025-05-28 14:01:51.666091
6.2	3.4	5.4	2.3	148	2	virginica	2025-05-28 15:01:51.666091
5.9	3.0	5.1	1.8	149	2	virginica	2025-05-28 16:01:51.666091
